Text30,Text40,Text8,Text37,Text49,Text38,Text33,Text31,Text13,Text24,Text43,Text35,Text34,Text36
04:00 - 04:59 am,0,,"3,643.18",0.00,,"3,643.18",0,0.00,,0.00,0,0,0.00
05:00 - 05:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
06:00 - 06:59 am,0,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
07:00 - 07:59 am,3,,0.00,0.00,,0.00,4,0.00,,0.00,133,0,0.00
08:00 - 08:59 am,28,,27.00,0.96,,27.00,18,0.00,,0.00,64,0,0.00
09:00 - 09:59 am,38,,3.00,0.08,,0.00,42,3.00,,0.08,111,0,0.00
10:00 - 10:59 am,25,,146.96,5.88,,(1.00),24,147.96,,5.92,96,0,0.00
11:00 - 11:59 am,35,,51.00,1.46,,51.00,21,0.00,,0.00,60,0,0.00
12:00 - 12:59 pm,40,,58.99,1.47,,22.00,18,36.99,,0.92,45,0,0.00
01:00 - 01:59 pm,37,,11.00,0.30,,11.00,24,0.00,,0.00,65,0,0.00
02:00 - 02:59 pm,35,,115.67,3.30,,75.99,17,36.99,,1.06,49,1,2.69
03:00 - 03:59 pm,37,,54.00,1.46,,54.00,18,0.00,,0.00,49,0,0.00
04:00 - 04:59 pm,26,,76.98,2.96,,3.00,17,73.98,,2.85,65,0,0.00
05:00 - 05:59 pm,29,,17.00,0.59,,17.00,19,0.00,,0.00,66,0,0.00
06:00 - 06:59 pm,44,,65.77,1.49,,65.00,24,0.00,,0.00,55,1,0.77
07:00 - 07:59 pm,25,,45.53,1.82,,40.00,11,0.00,,0.00,44,3,5.53
08:00 - 08:59 pm,1,,0.00,0.00,,0.00,0,0.00,,0.00,0,0,0.00
